"Name","Total Time","Total Time (CPU)","Invocations"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Cp.<init> (prompt.CommandPrompt)","0,014 ms (-0 %)","0,014 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Cat.<init> (prompt.CommandPrompt)","0,013 ms (-0 %)","0,013 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" file_system_adapter.fake_FSO.FakeFSO.<init> (String)","0,010 ms (-0 %)","0,010 ms (-0 %)","1"
"  file_system_adapter.fake_FSO.FakeDirectory.<init> (String)","0,146 ms (-0 %)","0,146 ms (-0 %)","1"
"   file_system_adapter.FakeFileSystemAdapter.<init> ()","0,759 ms (-0 %)","0,629 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" file_system_adapter.FakeFileSystemAdapter.rootDirectory ()","0,009 ms (-0 %)","0,009 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.RepeatFromHistory.shouldBeAddedToHistory ()","0,007 ms (-0 %)","0,007 ms (-0 %)","1"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Command.setAdapter (file_system_adapter.FileSystemAdapter)","0,003 ms (-0 %)","0,003 ms (-0 %)","1"
"  prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"   profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"    profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
